DATE,AMOUNT,DESCRIPTION,DEBIT,CREDIT,CATEGORY 1,CATEGORY 2,CATEGORY 3,FILE SOURCE,FILE DATE,FILE TIME,TYPE 1,BALANCE,MEMO,CHECK OR SLIP,TYPE 2,MEMBER NAME,STATUS,T_SIGN,CATEGORY,TRANSACTION DATE
6/13/22,5.31,APPLE.COM/BILL 866-712-7753 CA               06/11,,,,,,Data.F11.csv,2022-06-20,23:29:30,DEBIT_CARD,10000.01,,,DEBIT,,,,,
6/13/22,17.01,APPLE.COM/BILL 866-712-7753 CA               06/11,,,,,,Data.F11.csv,2022-06-20,23:29:30,DEBIT_CARD,9999.44,,,DEBIT,,,,,
12/13/21,9.39,STARBUCKS STORE 02484 CHICAGO IL             12/12,,,,,,Data.F11.csv,2022-06-20,23:29:30,DEBIT_CARD,9998.87,,,DEBIT,,,,,
12/13/21,14.79,EINSTEIN BROS BAGELS124 CHICAGO IL           12/11,,,,,,Data.F11.csv,2022-06-20,23:29:30,DEBIT_CARD,9998.3,,,DEBIT,,,,,
11/23/21,1.49,WAWA 8124     00081240 WYOMISSING PA         11/22,,,,,,Data.F11.csv,2022-06-20,23:29:30,DEBIT_CARD,9997.73,,,DEBIT,,,,,
11/22/21,45.2,V&S SANDWICHES - SINKI 610-2231351 PA        11/19,,,,,,Data.F11.csv,2022-06-20,23:29:30,DEBIT_CARD,9996.02,,,DEBIT,,,,,
11/15/21,58.42,WAWA 147 READING PA                  299927  11/15,,,,,,Data.F11.csv,2022-06-20,23:29:30,DEBIT_CARD,9994.88,,,DEBIT,,,,,
11/12/21,5.31,APPLE.COM/BILL 866-712-7753 CA               11/11,,,,,,Data.F11.csv,2022-06-20,23:29:30,DEBIT_CARD,9994.31,,,DEBIT,,,,,
6/18/20,45.0,W HAIR AND COLOR WESTPORT CT                 06/17,,,,,,Data.F11.csv,2022-06-20,23:29:30,DEBIT_CARD,9993.74,,,DEBIT,,,,,
6/14/22,50.0,CHECK 1177  ,,,,,,Data.F12.csv,2022-06-20,23:29:30,CHECK_PAID,2000.34,,1177.0,CHECK,,,,,
6/10/22,-0.04,INTEREST PAYMENT,,,,,,Data.F12.csv,2022-06-20,23:29:30,MISC_CREDIT,1998.78,,,CREDIT,,,,,
6/7/22,75.0,CHECK 1180  ,,,,,,Data.F12.csv,2022-06-20,23:29:30,CHECK_PAID,1997.22,,1180.0,CHECK,,,,,
5/24/22,100.0,CHECK 1179  ,,,,,,Data.F12.csv,2022-06-20,23:29:30,CHECK_PAID,1995.66,,1179.0,CHECK,,,,,
7/7/20,513.63,G44,,,,,,Data.F12.csv,2022-06-20,23:29:30,ACH_DEBIT,1994.1,,,DEBIT,,,,,
6/18/22,-364.4100036621094,PAYMENT THANK YOU,,-364.41,,,,Data.F22.csv,2022-06-20,23:29:30,,,,,,BRiLL,Cleared,,,
6/15/22,112.05999755859375,TST* Evaritos Mexican Ki Norwalk CT,112.06,,,,,Data.F22.csv,2022-06-20,23:29:30,,,,,,BRiLL,Cleared,,,
6/15/22,17.780000686645508,COSTCO WHSE #0324 NORWALK CT,17.78,,,,,Data.F22.csv,2022-06-20,23:29:30,,,,,,BRiLL,Cleared,,,
6/11/22,39.9900016784668,ACEPROXIES 866-312-7733 RO,39.99,,,,,Data.F22.csv,2022-06-20,23:29:30,,,,,,BRiLL,Cleared,,,
6/9/22,93.58000183105469,AIRTABLE.COM/BILL HTTPSAIRTABLECA,93.58,,,,,Data.F22.csv,2022-06-20,23:29:30,,,,,,BRiLL,Cleared,,,
6/6/22,198.3300018310547,COSTCO WHSE #0324 NORWALK CT,198.33,,,,,Data.F22.csv,2022-06-20,23:29:30,,,,,,BRiLL,Cleared,,,
6/6/22,31.43000030517578,TWILIO INC TWILIO.COM CA,31.43,,,,,Data.F22.csv,2022-06-20,23:29:30,,,,,,BRiLL,Cleared,,,
6/5/22,23.010000228881836,MCDONALD'S F15236 BOONTON NJ,23.01,,,,,Data.F22.csv,2022-06-20,23:29:30,,,,,,BRiLL,Cleared,,,
1/6/22,108.95999908447266,REVERSE DNH*GODADDY.COM 480-505,108.96,,,,,Data.F22.csv,2022-06-20,23:29:30,,,,,,BRILL,Cleared,,,
